Seattle Riot,Seattle,WA
Brute Squad,Boston,MA
Fury,San Francisco,CA
Molly Brown,Denver/Boulder,CO
Scandal,Washington,DC
Traffic,Vancouver,BC
Ozone,Atlanta,GA
6ixers,Toronto,Ontario
Nightlock,Bay Area,CA
Heist,Madison,WI
Pop,Minneapolis,MN
Showdown,Texas City,TX
Underground,Seattle,WA
Schwa,Portland,OR
Rival,Columbus/Ann Arbor,OH
Nemesis,Chicago,IL
Wildfire,San Diego,CA
LOL,Oakland,CA
Phoenix,Durham,NC
Siege,Boston,MA
BENT,New York,NY
Sneaky House Hippos,Vancouver,British Columbia
Grit,Washington,DC
Wicked,Kansas City,KS
Fusion,Winnipeg,Manitoba
Hot Metal,Pittsburgh,PA
FAB,Bay Area,CA
Outbreak,Atlanta,GA
Elevate,Salt Lake City,UT
Notorious C.L.E.,Cleveland,OH
Tabby Rosa,Gainesville,FL
Indy Rogue,Indianapolis,IN
Green,Philadelphia,PA
Viva,Los Angeles,CA
Steel,Birmingham,AL
Virginia Rebellion,Richmond,VA
Portland Ivy,Portland,OR
Maeve,Dallas,TX
Dish,Chicago,IL
Phoenix Uprising,Phoenix,AZ
Seattle Soul,Seattle,WA
Sureshot,Cincinnati,OH
Fiasco,Miami,FL
Backhanded,Baltimore/Washington,DC
Queen Cake,New Orleans,LA
Helix,Chicago,IL
Colorado Small Batch,Denver,CO
Savage,Halifax,Nova Scotia
Jackwagon,Boulder/Denver,CO
Brooklyn Book Club,Brooklyn,NY
Zephyr,Vancouver,British Columbia
Vice,Cambridge,MA
Encore,Nashville,TN
Pine Baroness,Princeton,NJ
Deadly Viper Assassination Squad,Oakland,CA
Venom,Tucson,AZ
MystiKuE,Milwaukee,WI
Sparks,Cincinnati,OH
Trainwreck,Fort Collins,CO
Seattle Beat,Seattle,WA
Inferno,Houston,TX
Jinx,Portland,ME
Crackle,Minneapolis,MN
Boomslang,Albany,NY
Suffrage,Washington,DC
Honey Pot,Chattanooga,TN
Independence,Philadelphia,PA
Broad City,Philadelphia,PA
Snap,Minneapolis,MN
Hoax,Charleston,SC
Rogue,Chapel Hill,NC
Monsoon Ultimate,Flagstaff,AZ
Wendigo,Vancouver,British Columbia
Salt City Spirit,Syracuse,NY
Lockdown,Madison,WI
Baywatch,New Britain,CT
DINO,New York,NY
Frenzy,Chicago,IL
HOPE,Providence,RI
Orbit,Atlanta,GA
Autonomous,Ann Arbor/Detroit,MI
Temptress,Dallas,TX
